"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\.eslintrc.cjs", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\package-lock.json", "JSON", 8186, 0, 0, 0, 0, 0, 0, 0, 1, 8187
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\.prettierrc", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 1, 4, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Button\Button.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Button\Button.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Button\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Copyright\Copyright.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Copyright\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Form\FormInput\FormInput.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Form\FormInput\FormInput.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Form\FormInput\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Loader\Loader.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Loader\Loader.module.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Loader\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 0, 1, 16, 124
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\GlobalStyles\GlobalStyles.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\GlobalStyles\GlobalStyles.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Dashboard\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 6, 173
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Login\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\constants\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
