"filename", "language", "JSON", "HTML", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\index.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\package-lock.json", "JSON", 254, 0, 0, 0, 0, 0, 0, 254
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\package.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Admin\ListItem\ListItem.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogCategory.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogDishes.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, -2, 4, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogEmployee.jsx", "JavaScript JSX", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Iconify\Iconify.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 3, 4, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Iconify\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Logo\Logo.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 11, 14, 93
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Logo\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Header\Header.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Header\Header.module.css", "CSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Search\Search.module.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, -14, 0, 0, 1, -13
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\CategoryContext.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\DishesContext.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, -2, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\EmployeesContext.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\UsersContext.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CategoryManage\CategoryManage.jsx", "JavaScript JSX", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\Charts\Charts.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\Charts\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CustomerManage\CustomerDetail.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 4, 111
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\CustomerManage\CustomerManage.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\DishManage\DishManage.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, -40, 0, 6, 11, -23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Register\Register.jsx", "JavaScript JSX", 0, 0, 0, -58, 0, 6, 13, -39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Cart\Cart.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 1, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\action.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\constants.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\reducer.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\axiosConfig.jsx", "JavaScript JSX", 0, 0, 0, -1, 0, 0, -1, -2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\userApi.jsx", "JavaScript JSX", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Theme\index.jsx", "JavaScript JSX", 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\hooks\useReponsive.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 4, 15, 48
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\routers\routes.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\section\LoginForm\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 3, 10, 134
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\section\LoginForm\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\section\RegisterForm\RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 190, 0, 3, 10, 203
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\section\RegisterForm\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\theme\customShadows.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 5, 3, 32
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\theme\index.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 3, 7, 42
