Date : 2023-09-07 14:09:18
Directory : c:\Users\21H1 HNQA\Documents\mern_web\restaurants
Total : 198 files,  18935 codes, 323 comments, 999 blanks, all 20257 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          7 |     11,878 |          0 |          5 |     11,883 |
| JavaScript JSX |        137 |      5,625 |        310 |        764 |      6,699 |
| JavaScript     |         31 |      1,287 |          9 |        207 |      1,503 |
| XML            |         18 |         79 |          0 |          6 |         85 |
| HTML           |          2 |         50 |          4 |         10 |         64 |
| CSS            |          1 |          9 |          0 |          2 |         11 |
| Markdown       |          2 |          7 |          0 |          5 |         12 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        198 |     18,935 |        323 |        999 |     20,257 |
| . (Files)                                                                                                            |          1 |          2 |          0 |          1 |          3 |
| client                                                                                                               |        165 |     15,158 |        315 |        792 |     16,265 |
| client (Files)                                                                                                       |          6 |      9,394 |          1 |         10 |      9,405 |
| client\public                                                                                                        |         20 |        124 |          4 |         16 |        144 |
| client\public (Files)                                                                                                |          3 |         46 |          4 |         10 |         60 |
| client\public\assets                                                                                                 |         17 |         78 |          0 |          6 |         84 |
| client\public\assets (Files)                                                                                         |          2 |          2 |          0 |          0 |          2 |
| client\public\assets\icons                                                                                           |         14 |         36 |          0 |          5 |         41 |
| client\public\assets\icons (Files)                                                                                   |          8 |          8 |          0 |          0 |          8 |
| client\public\assets\icons\navbar                                                                                    |          6 |         28 |          0 |          5 |         33 |
| client\public\assets\illustrations                                                                                   |          1 |         40 |          0 |          1 |         41 |
| client\src                                                                                                           |        139 |      5,640 |        310 |        766 |      6,716 |
| client\src (Files)                                                                                                   |          4 |        138 |         45 |         24 |        207 |
| client\src\Components                                                                                                |         35 |      1,080 |         63 |        149 |      1,292 |
| client\src\Components\Admin                                                                                          |          9 |        241 |          1 |         20 |        262 |
| client\src\Components\Admin\Chart                                                                                    |          2 |         67 |          1 |          5 |         73 |
| client\src\Components\Admin\DataTable                                                                                |          2 |         21 |          0 |          3 |         24 |
| client\src\Components\Admin\ListItem                                                                                 |          1 |        112 |          0 |          6 |        118 |
| client\src\Components\Admin\Orders                                                                                   |          2 |         27 |          0 |          3 |         30 |
| client\src\Components\Admin\Title                                                                                    |          2 |         14 |          0 |          3 |         17 |
| client\src\Components\FormDialog                                                                                     |          4 |        372 |         23 |         31 |        426 |
| client\src\Components\User                                                                                           |         22 |        467 |         39 |         98 |        604 |
| client\src\Components\User\color-utils                                                                               |          5 |        167 |         11 |         26 |        204 |
| client\src\Components\User\iconify                                                                                   |          2 |         14 |          3 |          6 |         23 |
| client\src\Components\User\label                                                                                     |          3 |         99 |         10 |         19 |        128 |
| client\src\Components\User\logo                                                                                      |          2 |         36 |          1 |          7 |         44 |
| client\src\Components\User\nav-section                                                                               |          3 |         60 |          6 |         15 |         81 |
| client\src\Components\User\scroll-to-top                                                                             |          2 |         10 |          1 |          6 |         17 |
| client\src\Components\User\scrollbar                                                                                 |          3 |         55 |          5 |         13 |         73 |
| client\src\Components\User\svg-color                                                                                 |          2 |         26 |          2 |          6 |         34 |
| client\src\Contexts                                                                                                  |          6 |        420 |         12 |         78 |        510 |
| client\src\DefaultLayout                                                                                             |          2 |        168 |          6 |         11 |        185 |
| client\src\DefaultLayout\DefaultLayoutAdmin                                                                          |          2 |        168 |          6 |         11 |        185 |
| client\src\GlobalStyles                                                                                              |          2 |         14 |          0 |          5 |         19 |
| client\src\Pages                                                                                                     |         25 |      1,292 |         28 |        148 |      1,468 |
| client\src\Pages\Admin                                                                                               |         15 |        937 |          5 |         86 |      1,028 |
| client\src\Pages\Admin\AdminDashboard                                                                                |          2 |         41 |          5 |          6 |         52 |
| client\src\Pages\Admin\Auth                                                                                          |          2 |        119 |          0 |          6 |        125 |
| client\src\Pages\Admin\Auth\AdminLogin                                                                               |          2 |        119 |          0 |          6 |        125 |
| client\src\Pages\Admin\CategoryManage                                                                                |          2 |        157 |          0 |         17 |        174 |
| client\src\Pages\Admin\Charts                                                                                        |          2 |          7 |          0 |          2 |          9 |
| client\src\Pages\Admin\CustomerManage                                                                                |          3 |        271 |          0 |         21 |        292 |
| client\src\Pages\Admin\EmployeeManage                                                                                |          2 |        174 |          0 |         17 |        191 |
| client\src\Pages\Admin\ProductManage                                                                                 |          2 |        168 |          0 |         17 |        185 |
| client\src\Pages\Page404                                                                                             |          2 |         56 |          3 |          8 |         67 |
| client\src\Pages\User                                                                                                |          8 |        299 |         20 |         54 |        373 |
| client\src\Pages\User\Auth                                                                                           |          4 |        239 |         13 |         36 |        288 |
| client\src\Pages\User\Auth\Login                                                                                     |          2 |        112 |          7 |         17 |        136 |
| client\src\Pages\User\Auth\Register                                                                                  |          2 |        127 |          6 |         19 |        152 |
| client\src\Pages\User\DashboardAppPage                                                                               |          2 |         20 |          3 |          8 |         31 |
| client\src\Pages\User\ProductsPage                                                                                   |          2 |         40 |          4 |         10 |         54 |
| client\src\Reducers                                                                                                  |         15 |        293 |          0 |         44 |        337 |
| client\src\Reducers\AuthReducer                                                                                      |          3 |         33 |          0 |          7 |         40 |
| client\src\Reducers\CategoryReducer                                                                                  |          3 |         57 |          0 |          8 |         65 |
| client\src\Reducers\EmployeesReducer                                                                                 |          3 |         51 |          0 |          7 |         58 |
| client\src\Reducers\ProductsReducer                                                                                  |          3 |         84 |          0 |         13 |         97 |
| client\src\Reducers\UsersReducer                                                                                     |          3 |         68 |          0 |          9 |         77 |
| client\src\Service                                                                                                   |          6 |        123 |         24 |         19 |        166 |
| client\src\constants                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| client\src\hooks                                                                                                     |          1 |         29 |          4 |         15 |         48 |
| client\src\layouts                                                                                                   |         11 |        730 |         42 |        109 |        881 |
| client\src\layouts\dashboard                                                                                         |          9 |        705 |         38 |        102 |        845 |
| client\src\layouts\dashboard (Files)                                                                                 |          2 |         37 |          4 |         11 |         52 |
| client\src\layouts\dashboard\header                                                                                  |          5 |        543 |         24 |         70 |        637 |
| client\src\layouts\dashboard\nav                                                                                     |          2 |        125 |         10 |         21 |        156 |
| client\src\layouts\simple                                                                                            |          2 |         25 |          4 |          7 |         36 |
| client\src\routers                                                                                                   |          1 |         19 |         23 |          1 |         43 |
| client\src\section                                                                                                   |         10 |        627 |         24 |         60 |        711 |
| client\src\section\@dashboard                                                                                        |          6 |        314 |         18 |         40 |        372 |
| client\src\section\@dashboard\products                                                                               |          6 |        314 |         18 |         40 |        372 |
| client\src\section\auth                                                                                              |          4 |        313 |          6 |         20 |        339 |
| client\src\section\auth\LoginForm                                                                                    |          2 |        122 |          3 |         10 |        135 |
| client\src\section\auth\RegisterForm                                                                                 |          2 |        191 |          3 |         10 |        204 |
| client\src\theme                                                                                                     |         16 |        576 |         30 |         61 |        667 |
| client\src\theme (Files)                                                                                             |          6 |        337 |         19 |         37 |        393 |
| client\src\theme\overrides                                                                                           |         10 |        239 |         11 |         24 |        274 |
| client\src\utils                                                                                                     |          4 |        130 |          9 |         41 |        180 |
| server                                                                                                               |         32 |      3,775 |          8 |        206 |      3,989 |
| server (Files)                                                                                                       |          2 |      2,507 |          0 |          2 |      2,509 |
| server\src                                                                                                           |         30 |      1,268 |          8 |        204 |      1,480 |
| server\src (Files)                                                                                                   |          2 |         33 |          5 |         10 |         48 |
| server\src\app                                                                                                       |         15 |      1,083 |          0 |        132 |      1,215 |
| server\src\app\controllers                                                                                           |          8 |        690 |          0 |         96 |        786 |
| server\src\app\models                                                                                                |          7 |        393 |          0 |         36 |        429 |
| server\src\config                                                                                                    |          2 |         26 |          0 |          6 |         32 |
| server\src\config\cloudinary                                                                                         |          1 |          9 |          0 |          3 |         12 |
| server\src\config\database                                                                                           |          1 |         17 |          0 |          3 |         20 |
| server\src\middleware                                                                                                |          2 |         41 |          3 |         12 |         56 |
