"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "Properties", "XML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\package-lock.json", "JSON", 814, 0, 0, 0, 0, 0, 0, 814
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\package.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_composable.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_developer.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_freeSupport.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_lightDark.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_theme.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_update.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\images\chooseFile.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\App.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\Chart\Chart.jsx", "JavaScript JSX", 0, 0, -66, 0, 0, -1, -5, -72
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\Chart\index.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\ListItem\ListItem.jsx", "JavaScript JSX", 0, 0, -9, 0, 0, 0, -1, -10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\Orders\Orders.jsx", "JavaScript JSX", 0, 0, -26, 0, 0, 0, -3, -29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\Orders\index.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\chart\chart.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\chartsVisit\index.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 1, 5, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\chartsVisit\styles.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 5, 6, 62
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\chartsVisit\useChart.jsx", "JavaScript JSX", 0, 0, 162, 0, 0, 23, 23, 208
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\severity-pill\severity-pill.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 7, 59
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\logo\Logo.jsx", "JavaScript JSX", 0, 0, 11, 0, 0, -1, 0, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, -26, -7, -34
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\CartContext.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 9, 59
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\ProductsContext.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\UsersContext.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 2, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\AdminDashboard\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 155, 0, 0, -3, -2, 150
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\ProductForm.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 201, 10, 379
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\ProductManage.jsx", "JavaScript JSX", 0, 0, -15, 0, 0, 0, 0, -15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\CartPages\CartPage.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 4, 1, 35
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\HomePage\HomePage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 3, 3, 28
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\HomePage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\ProductsPage\ProductPageDetail.jsx", "JavaScript JSX", 0, 0, -6, 0, 0, 4, -1, -3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\ProfilePage\ProfilePage.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 4, 3, 38
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\ProfilePage\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\AuthReducer\reducer.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CartReducer\action.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CartReducer\constants.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CartReducer\reducer.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\ProductsReducer\action.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\ProductsReducer\constants.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\ProductsReducer\reducer.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\authApi.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\axiosConfig.jsx", "JavaScript JSX", 0, 0, -2, 0, 0, -2, 1, -3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\cartApi.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\productApi.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\userApi.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\config\editorConfig.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\constants\index.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, -1, -2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\index.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 4, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\useAuth.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 2, 2, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\useCart.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\useCategory.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\useCommon.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\useProduct.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\hooks\context\useUser.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\admin\DashboardLayoutAdmin.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, -2, 4, 45
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\admin\header\NotificationsPopover.jsx", "JavaScript JSX", 0, 0, 247, 0, 0, 6, 24, 277
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\layouts\dashboard\header\AccountPopover.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, -1, -2, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\routers\routes.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartWithoutProducts.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 3, 5, 35
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\common\ButtonBack.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 2, 4, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\common\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductCartWidget.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductFilterSidebar.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 3, 3, 55
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductRating.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductSort.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, -1, 0, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\productdetail\ProductInfo.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, -3, 3, 38
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\productdetail\ProductQuantity.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\profile\PreviewAvatar.jsx", "JavaScript JSX", 0, 0, 51, 0, 0, 4, 6, 61
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\profile\ProfileCardAvatar.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 34, 5, 109
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\profile\ProfileCardInfo.jsx", "JavaScript JSX", 0, 0, 132, 0, 0, 3, 8, 143
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\profile\index.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\dashboard\AppWebsiteVisits.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 3, 5, 46
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\dashboard\index.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\dashboard\overview-budget.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 4, 87
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\dashboard\overview-latest-orders.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 6, 89
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\dashboard\overview-latest-products.jsx", "JavaScript JSX", 0, 0, 90, 0, 0, 0, 6, 96
