"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\detailInfo\DetailCardAvatar.jsx", "JavaScript JSX", 43, 0, 34, 1, 78
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\detailInfo\DetailCardInfo.jsx", "JavaScript JSX", 69, 0, 1, 5, 75
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\detailInfo\index.jsx", "JavaScript JSX", 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\OrderContext.jsx", "JavaScript JSX", 10, 0, 0, 2, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\ProductsContext.jsx", "JavaScript JSX", 3, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CategoryManage\CategoryManage.jsx", "JavaScript JSX", 6, 0, -7, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\CustomerDetail.jsx", "JavaScript JSX", -47, 0, 4, 1, -42
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\CustomerManage.jsx", "JavaScript JSX", 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\CustomerManage\index.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\Admin\ProductManage\ProductManage.jsx", "JavaScript JSX", 6, 0, 1, 1, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\DashboardAppPage\DashboardAppPage.jsx", "JavaScript JSX", 3, 0, 0, -1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\OrderPage\OrderPageDetail.jsx", "JavaScript JSX", 62, 0, 4, 3, 69
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\OrderPage\index.jsx", "JavaScript JSX", 1, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\ProductsPage\ProductPageDetail.jsx", "JavaScript JSX", -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Pages\User\ProfilePage\ProfilePage.jsx", "JavaScript JSX", -5, 0, -1, 0, -6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\CartReducer\reducer.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\OrderReducer\action.jsx", "JavaScript JSX", 11, 0, 0, 1, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\OrderReducer\constant.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Reducers\OrderReducer\reducer.jsx", "JavaScript JSX", 10, 0, 0, 0, 10
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Service\orderApi.jsx", "JavaScript JSX", -4, 0, 0, 0, -4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\routers\routes.jsx", "JavaScript JSX", 6, 0, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\app\PopularProducts.jsx", "JavaScript JSX", 20, 0, 3, 3, 26
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\app\RecentlyProducts.jsx", "JavaScript JSX", 18, 0, 3, 3, 24
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\app\index.jsx", "JavaScript JSX", 2, 0, 0, 0, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartConfirm\CartConfirm.jsx", "JavaScript JSX", 18, 0, 0, 0, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartConfirm\CartConfirmProductItem.jsx", "JavaScript JSX", 1, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartPayment\CartShipInfo.jsx", "JavaScript JSX", 4, 0, 0, 0, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartSelect.jsx", "JavaScript JSX", 12, 0, 0, 1, 13
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartSummary.jsx", "JavaScript JSX", 5, 0, 0, 0, 5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartTable.jsx", "JavaScript JSX", 7, 0, 0, -1, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartTableItem.jsx", "JavaScript JSX", 6, 0, 0, 1, 7
