"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "PHP", "JavaScript JSX", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\README.md", "Markdown", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\.eslintrc.cjs", "JavaScript", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\README.md", "Markdown", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -4, -9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\index.html", "HTML", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\package-lock.json", "JSON", 0, 0, 0, -10564, 0, 0, 0, 0, 0, 0, -1, -10565
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\package.json", "JSON", 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, -1, -62
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_flag_de.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_flag_en.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_flag_fr.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_notification_chat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_notification_mail.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_notification_package.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\ic_notification_shipping.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\manage\ic_export.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\manage\ic_upload.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\navbar\ic_analytics.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\navbar\ic_cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\navbar\ic_disabled.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\navbar\ic_lock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\navbar\ic_product.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\navbar\ic_user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\product\ic_check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_account.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -1, -35
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_assurances.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -1, -34
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_composable.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_delivery.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -1, -31
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_developer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_freeSupport.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_lightDark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_package.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, -1, -30
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_payment.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, -1, -34
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_refund.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -1, -32
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\service\ic_update.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\icons\shape-avatar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\illustrations\illustration_404.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, -1, -41
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\illustrations\illustration_home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\illustrations\illustration_login.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\illustrations\illustration_login_admin.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\illustrations\illustration_register.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\images\chooseFile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\assets\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\index.html", "HTML", -25, 0, 0, 0, 0, 0, 0, 0, 0, -4, -9, -38
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\manifest.json", "JSON", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -1, -21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\.prettierrc", "JSON", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -46, 0, 0, 0, -6, -3, -55
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\DataTable\DataTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -32, 0, 0, 0, -2, -5, -39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\DataTable\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\ListItem\ListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -94, 0, 0, 0, 0, -5, -99
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\Admin\Title\Title.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, -3, -16
